Fecha	Territorio	Confirmados PCR	Confirmados PCR 14 días	Confirmados PCR 7 días	Total confirmados	Hospitalizados	Total UCI	Fallecidos	Curados
	Huelva	398	7	0	510	219	30	47	303
	Jaén	1345	58	0	1654	743	81	165	1042
	Málaga	2712	70	0	3760	1445	165	271	1942
	Sevilla	2395	67	0	2831	1181	146	268	1449
08/05/2020	Andalucía	12298	420	0	15228	6069	745	1317	8779
	Almería	477	9	0	630	210	38	49	391
	Cádiz	1228	55	0	1426	565	79	141	449
	Córdoba	1322	25	0	1547	541	73	104	1105
	Granada	2443	120	0	2946	1171	132	273	2201
	Huelva	398	9	0	507	219	30	46	296
	Jaén	1332	52	0	1638	742	82	166	1039
	Málaga	2707	81	0	3718	1440	165	270	1884
	Sevilla	2391	69	0	2816	1181	146	268	1414
07/05/2020	Andalucía	12287	506	0	15050	6038	742	1301	8435
	Almería	477	10	0	618	210	37	49	376
	Cádiz	1222	59	0	1406	559	78	138	412
	Córdoba	1320	27	0	1527	540	73	104	1093
	Granada	2469	168	0	2905	1166	132	271	2126
	Huelva	398	10	0	500	219	30	45	275
	Jaén	1321	48	0	1609	733	81	164	1001
	Málaga	2701	104	0	3703	1438	165	266	1811
	Sevilla	2379	80	0	2782	1173	146	264	1341
06/05/2020	Andalucía	12268	0	0	14870	6027	744	1294	8076
	Almería	476	0	0	612	209	37	49	367
	Cádiz	1218	0	0	1386	557	78	138	400
	Córdoba	1319	0	0	1508	540	73	103	1027
	Granada	2488	0	0	2888	1164	133	270	2072
	Huelva	399	0	0	487	220	30	44	236
	Jaén	1315	0	0	1600	737	82	164	962
	Málaga	2683	0	0	3638	1432	165	264	1752
	Sevilla	2370	0	0	2751	1168	146	262	1260
05/05/2020	Andalucía	12236	0	0	14639	6012	740	1281	7679
	Almería	476	0	0	600	208	37	49	353
	Cádiz	1216	0	0	1365	557	78	138	392
	Córdoba	1315	0	0	1495	538	73	102	960
	Granada	2480	0	0	2823	1159	131	261	2006
	Huelva	399	0	0	474	220	30	44	226
	Jaén	1306	0	0	1584	734	80	164	934
	Málaga	2678	0	0	3565	1429	165	263	1707
	Sevilla	2366	0	0	2733	1167	146	260	1101
04/05/2020	Andalucía	0	0	0	14394	5983	738	1267	7230
	Almería	0	0	0	593	208	37	49	349
	Cádiz	0	0	0	1342	548	78	136	379
	Córdoba	0	0	0	1483	537	73	102	952
	Granada	0	0	0	2781	1156	130	255	1929
	Huelva	0	0	0	466	220	30	43	219
	Jaén	0	0	0	1556	734	80	162	712
	Málaga	0	0	0	3462	1417	164	261	1637
	Sevilla	0	0	0	2711	1163	146	259	1053
03/05/2020	Andalucía	0	0	0	14349	5973	738	1263	7021
	Almería	0	0	0	595	208	37	49	349
	Cádiz	0	0	0	1335	546	78	135	373
	Córdoba	0	0	0	1480	534	73	101	952
	Granada	0	0	0	2766	1155	130	254	1758
	Huelva	0	0	0	466	220	30	43	219
	Jaén	0	0	0	1547	732	80	162	689
	Málaga	0	0	0	3452	1416	164	261	1636
	Sevilla	0	0	0	2708	1162	146	258	1045
02/05/2020	Andalucía	0	0	0	14287	5961	736	1256	6897
	Almería	0	0	0	595	208	37	49	349
	Cádiz	0	0	0	1335	546	78	135	372
	Córdoba	0	0	0	1478	534	73	100	952
	Granada	0	0	0	2751	1152	130	251	1700
	Huelva	0	0	0	466	220	30	43	212
	Jaén	0	0	0	1528	725	79	162	675
	Málaga	0	0	0	3432	1415	164	261	1612
	Sevilla	0	0	0	2702	1161	145	255	1025
01/05/2020	Andalucía	0	0	0	14195	5962	735	1253	6821
	Almería	0	0	0	592	208	37	49	343
	Cádiz	0	0	0	1330	545	78	135	372
	Córdoba	0	0	0	1477	535	74	100	952
	Granada	0	0	0	2739	1154	129	248	1675
	Huelva	0	0	0	466	220	30	43	210
	Jaén	0	0	0	1513	724	78	162	652
	Málaga	0	0	0	3416	1415	164	261	1607
	Sevilla	0	0	0	2662	1161	145	255	1010
30/04/2020	Andalucía	0	0	0	13946	5936	729	1238	6334
	Almería	0	0	0	579	207	37	48	336
	Cádiz	0	0	0	1310	541	77	132	360
	Córdoba	0	0	0	1462	533	71	99	861
	Granada	0	0	0	2693	1144	129	244	1567
	Huelva	0	0	0	446	220	30	43	196
	Jaén	0	0	0	1483	719	78	161	559
	Málaga	0	0	0	3324	1415	163	259	1498
	Sevilla	0	0	0	2649	1157	144	252	957
29/04/2020	Andalucía	0	0	0	13688	5874	721	1207	5710
	Almería	0	0	0	555	207	37	48	299
	Cádiz	0	0	0	1282	532	75	116	347
	Córdoba	0	0	0	1435	531	71	98	728
	Granada	0	0	0	2636	1131	128	241	1377
	Huelva	0	0	0	434	221	30	43	183
	Jaén	0	0	0	1469	709	76	159	458
	Málaga	0	0	0	3248	1407	161	254	1423
	Sevilla	0	0	0	2629	1136	143	248	895
28/04/2020	Andalucía	0	0	0	13501	5832	722	1188	5272
	Almería	0	0	0	542	203	37	47	246
	Cádiz	0	0	0	1267	529	76	111	344
	Córdoba	0	0	0	1414	526	71	98	730
	Granada	0	0	0	2593	1128	127	238	1214
	Huelva	0	0	0	425	214	30	41	163
	Jaén	0	0	0	1445	701	75	156	364
	Málaga	0	0	0	3210	1404	161	253	1405
	Sevilla	0	0	0	2605	1127	145	244	806
27/04/2020	Andalucía	0	0	0	13250	5793	721	1168	5039
	Almería	0	0	0	533	204	38	47	245
	Cádiz	0	0	0	1255	522	76	107	329
	Córdoba	0	0	0	1404	523	71	96	727
	Granada	0	0	0	2536	1123	126	234	1133
	Huelva	0	0	0	420	214	30	40	154
	Jaén	0	0	0	1434	690	74	155	345
	Málaga	0	0	0	3093	1400	161	250	1357
	Sevilla	0	0	0	2575	1117	145	239	749
26/04/2020	Andalucía	0	0	0	13160	5768	720	1157	4890
	Almería	0	0	0	527	204	38	46	238
	Cádiz	0	0	0	1244	516	76	102	319
	Córdoba	0	0	0	1403	523	71	95	694
	Granada	0	0	0	2504	1125	126	233	1110
	Huelva	0	0	0	417	211	30	40	153
	Jaén	0	0	0	1426	686	74	155	325
	Málaga	0	0	0	3076	1396	160	250	1342
	Sevilla	0	0	0	2563	1107	145	236	709
25/04/2020	Andalucía	0	0	0	13023	5748	716	1145	4741
	Almería	0	0	0	527	204	38	45	229
	Cádiz	0	0	0	1241	514	76	101	319
	Córdoba	0	0	0	1397	522	71	94	647
	Granada	0	0	0	2419	1120	124	229	1064
	Huelva	0	0	0	415	210	30	40	152
	Jaén	0	0	0	1410	682	72	152	323
	Málaga	0	0	0	3060	1394	160	249	1329
	Sevilla	0	0	0	2554	1102	145	235	678
24/04/2020	Andalucía	0	0	0	12824	5715	717	1131	4295
	Almería	0	0	0	518	202	38	45	213
	Cádiz	0	0	0	1229	510	76	100	317
	Córdoba	0	0	0	1382	517	71	88	516
	Granada	0	0	0	2348	1108	124	225	987
	Huelva	0	0	0	408	209	30	39	150
	Jaén	0	0	0	1405	678	72	152	285
	Málaga	0	0	0	3009	1396	161	247	1189
	Sevilla	0	0	0	2525	1095	145	235	638
23/04/2020	Andalucía	0	0	0	12495	5675	714	1107	3992
	Almería	0	0	0	513	200	37	44	196
	Cádiz	0	0	0	1220	502	76	92	316
	Córdoba	0	0	0	1363	516	71	87	402
	Granada	0	0	0	2294	1099	124	223	958
	Huelva	0	0	0	401	216	30	37	138
	Jaén	0	0	0	1383	674	72	152	280
	Málaga	0	0	0	2839	1383	161	241	1119
	Sevilla	0	0	0	2482	1085	143	231	583
22/04/2020	Andalucía	0	0	0	12237	5616	702	1079	3847
	Almería	0	0	0	492	198	37	44	185
	Cádiz	0	0	0	1204	500	74	88	314
	Córdoba	0	0	0	1342	506	69	83	400
	Granada	0	0	0	2251	1093	124	219	947
	Huelva	0	0	0	396	214	29	35	136
	Jaén	0	0	0	1348	663	68	147	263
	Málaga	0	0	0	2741	1377	161	237	1054
	Sevilla	0	0	0	2463	1065	140	226	548
21/04/2020	Andalucía	0	0	0	11921	5565	696	1050	3569
	Almería	0	0	0	473	197	37	44	165
	Cádiz	0	0	0	1161	493	74	83	298
	Córdoba	0	0	0	1300	504	69	83	386
	Granada	0	0	0	2200	1081	122	214	869
	Huelva	0	0	0	391	212	29	35	130
	Jaén	0	0	0	1325	650	68	141	260
	Málaga	0	0	0	2657	1376	159	232	956
	Sevilla	0	0	0	2414	1052	138	218	505
20/04/2020	Andalucía	0	0	0	11689	5509	692	1017	3411
	Almería	0	0	0	466	193	36	43	160
	Cádiz	0	0	0	1161	494	74	75	294
	Córdoba	0	0	0	1290	501	69	79	369
	Granada	0	0	0	2142	1066	121	208	846
	Huelva	0	0	0	390	212	29	34	130
	Jaén	0	0	0	1317	646	68	140	254
	Málaga	0	0	0	2552	1353	158	223	877
	Sevilla	0	0	0	2371	1044	137	215	481
19/04/2020	Andalucía	0	0	0	11555	5473	690	1013	3229
	Almería	0	0	0	461	191	36	43	153
	Cádiz	0	0	0	1146	490	74	75	283
	Córdoba	0	0	0	1281	496	67	79	368
	Granada	0	0	0	2078	1057	121	205	704
	Huelva	0	0	0	389	212	29	34	120
	Jaén	0	0	0	1309	640	68	140	254
	Málaga	0	0	0	2546	1350	158	223	873
	Sevilla	0	0	0	2345	1037	137	214	474
18/04/2020	Andalucía	0	0	0	11425	5424	687	993	3116
	Almería	0	0	0	458	190	36	42	147
	Cádiz	0	0	0	1139	487	74	75	283
	Córdoba	0	0	0	1271	492	67	74	371
	Granada	0	0	0	2023	1041	119	196	616
	Huelva	0	0	0	377	206	29	34	118
	Jaén	0	0	0	1297	636	67	137	253
	Málaga	0	0	0	2531	1346	158	223	869
	Sevilla	0	0	0	2329	1026	137	212	459
17/04/2020	Andalucía	0	0	0	11204	5341	677	967	2948
	Almería	0	0	0	444	188	35	41	126
	Cádiz	0	0	0	1122	468	73	74	280
	Córdoba	0	0	0	1266	490	66	72	353
	Granada	0	0	0	1969	1025	117	193	563
	Huelva	0	0	0	358	204	29	32	107
	Jaén	0	0	0	1274	625	63	131	252
	Málaga	0	0	0	2472	1325	158	217	835
	Sevilla	0	0	0	2299	1016	136	207	432
16/04/2020	Andalucía	0	0	0	11053	5298	675	940	2790
	Almería	0	0	0	436	186	35	39	118
	Cádiz	0	0	0	1110	466	73	71	276
	Córdoba	0	0	0	1259	486	64	70	317
	Granada	0	0	0	1956	1018	117	191	513
	Huelva	0	0	0	352	201	29	29	89
	Jaén	0	0	0	1233	612	62	129	252
	Málaga	0	0	0	2429	1317	157	214	809
	Sevilla	0	0	0	2278	1012	138	197	416
15/04/2020	Andalucía	0	0	0	10807	5226	671	912	2634
	Almería	0	0	0	428	181	35	38	90
	Cádiz	0	0	0	1072	460	71	68	264
	Córdoba	0	0	0	1247	479	62	63	301
	Granada	0	0	0	1926	1004	117	187	480
	Huelva	0	0	0	347	200	30	28	73
	Jaén	0	0	0	1201	608	62	128	252
	Málaga	0	0	0	2363	1302	156	211	772
	Sevilla	0	0	0	2223	992	138	189	402
14/04/2020	Andalucía	0	0	0	10595	5147	665	865	2224
	Almería	0	0	0	416	179	34	38	100
	Cádiz	0	0	0	1044	455	71	62	235
	Córdoba	0	0	0	1211	468	61	59	207
	Granada	0	0	0	1911	994	115	181	409
	Huelva	0	0	0	344	185	30	27	62
	Jaén	0	0	0	1189	600	62	115	220
	Málaga	0	0	0	2321	1284	156	201	664
	Sevilla	0	0	0	2159	982	136	182	327
13/04/2020	Andalucía	0	0	0	10306	5054	631	836	2032
	Almería	0	0	0	414	176	34	38	96
	Cádiz	0	0	0	1001	452	70	60	203
	Córdoba	0	0	0	1190	462	57	58	197
	Granada	0	0	0	1864	973	110	180	375
	Huelva	0	0	0	337	177	27	27	61
	Jaén	0	0	0	1177	590	59	111	209
	Málaga	0	0	0	2240	1253	145	184	597
	Sevilla	0	0	0	2083	971	129	178	294
12/04/2020	Andalucía	0	0	0	10187	4993	621	815	1967
	Almería	0	0	0	413	176	34	35	86
	Cádiz	0	0	0	990	439	70	60	200
	Córdoba	0	0	0	1169	456	56	56	197
	Granada	0	0	0	1832	957	104	170	360
	Huelva	0	0	0	331	171	27	27	61
	Jaén	0	0	0	1169	590	59	107	205
	Málaga	0	0	0	2217	1240	143	183	583
	Sevilla	0	0	0	2066	964	128	177	275
11/04/2020	Andalucía	0	0	0	10006	4950	619	799	1838
	Almería	0	0	0	409	176	35	36	85
	Cádiz	0	0	0	971	436	70	59	194
	Córdoba	0	0	0	1153	453	56	56	176
	Granada	0	0	0	1772	943	103	165	317
	Huelva	0	0	0	328	169	27	26	61
	Jaén	0	0	0	1136	579	59	105	200
	Málaga	0	0	0	2203	1239	142	183	558
	Sevilla	0	0	0	2034	955	127	169	247
10/04/2020	Andalucía	0	0	0	9712	4808	602	737	1630
	Almería	0	0	0	403	171	33	32	83
	Cádiz	0	0	0	943	421	65	52	157
	Córdoba	0	0	0	1136	449	55	49	161
	Granada	0	0	0	1725	915	102	157	272
	Huelva	0	0	0	318	170	27	22	57
	Jaén	0	0	0	1097	561	57	96	156
	Málaga	0	0	0	2143	1199	137	170	523
	Sevilla	0	0	0	1947	922	126	159	221
09/04/2020	Andalucía	0	0	0	9510	4715	582	691	1437
	Almería	0	0	0	400	169	33	29	73
	Cádiz	0	0	0	929	413	64	49	144
	Córdoba	0	0	0	1116	439	54	48	159
	Granada	0	0	0	1686	890	102	148	251
	Huelva	0	0	0	310	165	26	21	48
	Jaén	0	0	0	1055	557	56	92	111
	Málaga	0	0	0	2127	1182	123	154	451
	Sevilla	0	0	0	1887	900	124	150	200
08/04/2020	Andalucía	0	0	0	9261	4599	538	652	1193
	Almería	0	0	0	395	168	32	27	63
	Cádiz	0	0	0	915	403	58	45	128
	Córdoba	0	0	0	1084	424	52	45	131
	Granada	0	0	0	1639	865	95	142	205
	Huelva	0	0	0	308	159	25	21	40
	Jaén	0	0	0	1021	548	51	84	80
	Málaga	0	0	0	2074	1158	111	147	355
	Sevilla	0	0	0	1825	874	114	141	191
07/04/2020	Andalucía	0	0	0	8997	4463	520	605	1041
	Almería	0	0	0	378	161	32	26	54
	Cádiz	0	0	0	901	385	55	36	118
	Córdoba	0	0	0	1069	419	50	42	101
	Granada	0	0	0	1600	844	93	138	177
	Huelva	0	0	0	296	154	25	20	41
	Jaén	0	0	0	990	534	49	72	74
	Málaga	0	0	0	2006	1130	107	140	318
	Sevilla	0	0	0	1757	836	109	131	158
06/04/2020	Andalucía	0	0	0	8767	4335	499	528	900
	Almería	0	0	0	371	154	32	23	50
	Cádiz	0	0	0	881	370	56	32	109
	Córdoba	0	0	0	1055	408	50	39	84
	Granada	0	0	0	1550	830	88	128	182
	Huelva	0	0	0	292	147	25	16	19
	Jaén	0	0	0	973	520	47	53	62
	Málaga	0	0	0	1932	1095	97	125	289
	Sevilla	0	0	0	1713	811	104	112	105
05/04/2020	Andalucía	0	0	0	8581	4227	489	491	798
	Almería	0	0	0	371	153	32	23	49
	Cádiz	0	0	0	862	367	56	31	104
	Córdoba	0	0	0	1046	401	48	37	84
	Granada	0	0	0	1501	808	85	114	129
	Huelva	0	0	0	288	143	25	16	18
	Jaén	0	0	0	934	490	46	52	61
	Málaga	0	0	0	1916	1087	96	121	258
	Sevilla	0	0	0	1663	778	101	97	95
04/04/2020	Andalucía	0	0	0	8301	4107	474	470	665
	Almería	0	0	0	346	151	30	22	39
	Cádiz	0	0	0	846	365	49	31	88
	Córdoba	0	0	0	974	385	46	32	66
	Granada	0	0	0	1477	787	84	114	101
	Huelva	0	0	0	279	140	25	11	18
	Jaén	0	0	0	914	475	46	49	60
	Málaga	0	0	0	1863	1057	94	118	211
	Sevilla	0	0	0	1602	747	100	93	82
03/04/2020	Andalucía	0	0	0	7869	3896	364	426	463
	Almería	0	0	0	319	146	11	22	37
	Cádiz	0	0	0	796	345	27	27	62
	Córdoba	0	0	0	892	365	79	30	55
	Granada	0	0	0	1379	727	68	105	47
	Huelva	0	0	0	274	132	27	11	8
	Jaén	0	0	0	874	459	48	46	39
	Málaga	0	0	0	1800	1010	33	110	162
	Sevilla	0	0	0	1535	712	71	75	53
02/04/2020	Andalucía	0	0	0	7374	3673	338	376	258
	Almería	0	0	0	301	145	25	20	25
	Cádiz	0	0	0	754	319	42	22	28
	Córdoba	0	0	0	782	338	32	25	10
	Granada	0	0	0	1292	681	68	93	25
	Huelva	0	0	0	237	123	10	10	4
	Jaén	0	0	0	821	440	21	43	23
	Málaga	0	0	0	1725	968	77	98	110
	Sevilla	0	0	0	1462	659	63	65	33
01/04/2020	Andalucía	0	0	0	6972	3444	280	343	228
	Almería	0	0	0	290	129	19	18	22
	Cádiz	0	0	0	697	295	23	19	22
	Córdoba	0	0	0	728	321	20	25	7
	Granada	0	0	0	1230	636	58	86	23
	Huelva	0	0	0	224	115	10	6	2
	Jaén	0	0	0	788	420	16	39	21
	Málaga	0	0	0	1644	917	74	93	101
	Sevilla	0	0	0	1371	611	60	57	30
31/03/2020	Andalucía	0	0	0	6392	3147	260	308	182
	Almería	0	0	0	262	124	18	17	14
	Cádiz	0	0	0	645	266	22	17	17
	Córdoba	0	0	0	687	302	19	21	4
	Granada	0	0	0	1182	603	56	80	15
	Huelva	0	0	0	195	106	7	4	2
	Jaén	0	0	0	742	395	16	37	17
	Málaga	0	0	0	1464	815	65	77	93
	Sevilla	0	0	0	1215	536	57	55	20
30/03/2020	Andalucía	0	0	0	5818	2867	235	248	160
	Almería	0	0	0	251	108	15	16	6
	Cádiz	0	0	0	539	216	19	14	16
	Córdoba	0	0	0	661	288	17	15	4
	Granada	0	0	0	1061	556	50	67	15
	Huelva	0	0	0	177	96	7	4	2
	Jaén	0	0	0	661	358	13	26	17
	Málaga	0	0	0	1349	745	61	70	83
	Sevilla	0	0	0	1119	500	53	36	17
29/03/2020	Andalucía	0	0	0	5405	2671	216	236	155
	Almería	0	0	0	223	96	12	14	6
	Cádiz	0	0	0	507	207	16	13	10
	Córdoba	0	0	0	572	269	15	13	4
	Granada	0	0	0	963	493	50	66	15
	Huelva	0	0	0	168	92	7	4	2
	Jaén	0	0	0	599	319	10	23	17
	Málaga	0	0	0	1321	725	61	69	83
	Sevilla	0	0	0	1052	470	45	34	18
28/03/2020	Andalucía	0	0	0	4682	2294	201	207	148
	Almería	0	0	0	200	86	8	12	6
	Cádiz	0	0	0	447	170	16	9	9
	Córdoba	0	0	0	473	221	14	11	4
	Granada	0	0	0	860	427	48	57	13
	Huelva	0	0	0	131	72	6	4	2
	Jaén	0	0	0	501	279	10	20	16
	Málaga	0	0	0	1158	642	57	64	81
	Sevilla	0	0	0	912	397	42	30	17
27/03/2020	Andalucía	0	0	0	4277	2106	172	175	139
	Almería	0	0	0	173	72	8	10	6
	Cádiz	0	0	0	406	156	13	7	8
	Córdoba	0	0	0	424	200	13	9	4
	Granada	0	0	0	806	396	39	49	11
	Huelva	0	0	0	120	66	4	2	2
	Jaén	0	0	0	465	258	10	16	15
	Málaga	0	0	0	1053	575	48	56	80
	Sevilla	0	0	0	830	383	37	26	13
26/03/2020	Andalucía	0	0	0	3793	1843	148	144	92
	Almería	0	0	0	142	65	8	8	6
	Cádiz	0	0	0	348	117	7	6	6
	Córdoba	0	0	0	359	168	13	8	1
	Granada	0	0	0	711	336	38	34	1
	Huelva	0	0	0	105	60	4	2	2
	Jaén	0	0	0	414	228	7	15	7
	Málaga	0	0	0	1006	540	40	46	61
	Sevilla	0	0	0	708	329	31	25	8
25/03/2020	Andalucía	0	0	0	3406	1626	0	134	77
	Almería	0	0	0	134	62	0	7	5
	Cádiz	0	0	0	299	92	0	5	4
	Córdoba	0	0	0	349	161	0	7	0
	Granada	0	0	0	648	287	0	32	1
	Huelva	0	0	0	95	52	0	2	2
	Jaén	0	0	0	349	189	0	15	5
	Málaga	0	0	0	905	490	0	42	52
	Sevilla	0	0	0	627	293	0	24	8
24/03/2020	Andalucía	0	0	0	3010	1433	0	113	71
	Almería	0	0	0	115	50	0	5	5
	Cádiz	0	0	0	278	84	0	4	4
	Córdoba	0	0	0	291	135	0	6	0
	Granada	0	0	0	579	263	0	25	1
	Huelva	0	0	0	77	42	0	1	2
	Jaén	0	0	0	316	167	0	14	5
	Málaga	0	0	0	819	431	0	40	48
	Sevilla	0	0	0	535	261	0	18	6
23/03/2020	Andalucía	0	0	0	2471	1132	0	87	66
	Almería	0	0	0	91	39	0	5	3
	Cádiz	0	0	0	245	73	0	3	4
	Córdoba	0	0	0	234	100	0	6	0
	Granada	0	0	0	480	215	0	21	1
	Huelva	0	0	0	70	38	0	1	2
	Jaén	0	0	0	259	134	0	12	5
	Málaga	0	0	0	665	333	0	26	46
	Sevilla	0	0	0	427	200	0	13	5
22/03/2020	Andalucía	0	0	0	1961	744	0	58	50
	Almería	0	0	0	74	23	0	2	2
	Cádiz	0	0	0	178	50	0	3	4
	Córdoba	0	0	0	191	50	0	4	0
	Granada	0	0	0	374	169	0	17	0
	Huelva	0	0	0	58	29	0	1	0
	Jaén	0	0	0	215	79	0	5	5
	Málaga	0	0	0	520	192	0	21	34
	Sevilla	0	0	0	351	152	0	5	5
21/03/2020	Andalucía	0	0	0	1725	616	0	47	0
	Almería	0	0	0	58	17	0	1	0
	Cádiz	0	0	0	134	34	0	2	0
	Córdoba	0	0	0	180	39	0	3	0
	Granada	0	0	0	335	145	0	13	0
	Huelva	0	0	0	47	24	0	0	0
	Jaén	0	0	0	171	62	0	3	0
	Málaga	0	0	0	505	169	0	21	0
	Sevilla	0	0	0	295	126	0	4	0
20/03/2020	Andalucía	0	0	0	1515	503	0	40	0
	Almería	0	0	0	53	13	0	0	0
	Cádiz	0	0	0	126	27	0	0	0
	Córdoba	0	0	0	143	34	0	3	0
	Granada	0	0	0	289	100	0	13	0
	Huelva	0	0	0	37	16	0	0	0
	Jaén	0	0	0	138	63	0	2	0
	Málaga	0	0	0	484	161	0	20	0
	Sevilla	0	0	0	245	89	0	2	0
19/03/2020	Andalucía	0	0	0	1287	367	0	30	0
	Almería	0	0	0	46	9	0	0	0
	Cádiz	0	0	0	103	19	0	0	0
	Córdoba	0	0	0	125	25	0	0	0
	Granada	0	0	0	244	87	0	10	0
	Huelva	0	0	0	36	13	0	0	0
	Jaén	0	0	0	119	41	0	2	0
	Málaga	0	0	0	424	109	0	17	0
	Sevilla	0	0	0	190	64	0	1	0
18/03/2020	Andalucía	0	0	0	1008	307	0	23	0
	Almería	0	0	0	37	7	0	0	0
	Cádiz	0	0	0	84	15	0	0	0
	Córdoba	0	0	0	101	26	0	0	0
	Granada	0	0	0	176	66	0	7	0
	Huelva	0	0	0	23	15	0	0	0
	Jaén	0	0	0	88	32	0	2	0
	Málaga	0	0	0	361	93	0	13	0
	Sevilla	0	0	0	138	53	0	1	0
17/03/2020	Andalucía	0	0	0	859	223	0	19	0
	Almería	0	0	0	30	3	0	0	0
	Cádiz	0	0	0	74	3	0	0	0
	Córdoba	0	0	0	78	19	0	0	0
	Granada	0	0	0	130	29	0	6	0
	Huelva	0	0	0	14	4	0	0	0
	Jaén	0	0	0	77	10	0	2	0
	Málaga	0	0	0	333	113	0	10	0
	Sevilla	0	0	0	123	42	0	1	0
16/03/2020	Andalucía	0	0	0	683	200	0	11	0
	Almería	0	0	0	26	3	0	0	0
	Cádiz	0	0	0	56	3	0	0	0
	Córdoba	0	0	0	68	18	0	0	0
	Granada	0	0	0	95	36	0	2	0
	Huelva	0	0	0	8	1	0	0	0
	Jaén	0	0	0	52	8	0	2	0
	Málaga	0	0	0	278	97	0	6	0
	Sevilla	0	0	0	100	34	0	1	0
15/03/2020	Andalucía	0	0	0	554	160	0	7	0
	Almería	0	0	0	23	1	0	0	0
	Cádiz	0	0	0	48	3	0	0	0
	Córdoba	0	0	0	41	7	0	0	0
	Granada	0	0	0	67	28	0	0	0
	Huelva	0	0	0	6	5	0	0	0
	Jaén	0	0	0	50	10	0	2	0
	Málaga	0	0	0	235	85	0	5	0
	Sevilla	0	0	0	84	21	0	0	0
14/03/2020	Andalucía	0	0	0	437	134	0	6	0
	Almería	0	0	0	14	1	0	0	0
	Cádiz	0	0	0	34	8	0	0	0
	Córdoba	0	0	0	37	6	0	0	0
	Granada	0	0	0	57	20	0	0	0
	Huelva	0	0	0	6	0	0	0	0
	Jaén	0	0	0	47	3	0	2	0
	Málaga	0	0	0	180	81	0	4	0
	Sevilla	0	0	0	62	15	0	0	0
13/03/2020	Andalucía	0	0	0	269	75	0	2	0
	Almería	0	0	0	13	0	0	0	0
	Cádiz	0	0	0	21	2	0	0	0
	Córdoba	0	0	0	18	3	0	0	0
	Granada	0	0	0	22	6	0	0	0
	Huelva	0	0	0	4	0	0	0	0
	Jaén	0	0	0	34	10	0	0	0
	Málaga	0	0	0	128	46	0	2	0
	Sevilla	0	0	0	29	8	0	0	0
12/03/2020	Andalucía	0	0	0	158	0	0	0	0
	Almería	0	0	0	4	0	0	0	0
	Cádiz	0	0	0	11	0	0	0	0
	Córdoba	0	0	0	3	0	0	0	0
	Granada	0	0	0	13	0	0	0	0
	Huelva	0	0	0	2	0	0	0	0
	Jaén	0	0	0	17	0	0	0	0
	Málaga	0	0	0	97	0	0	0	0
	Sevilla	0	0	0	11	0	0	0	0
11/03/2020	Andalucía	0	0	0	95	0	0	0	0
	Almería	0	0	0	3	0	0	0	0
	Cádiz	0	0	0	6	0	0	0	0
	Córdoba	0	0	0	2	0	0	0	0
	Granada	0	0	0	0	0	0	0	0
	Huelva	0	0	0	1	0	0	0	0
	Jaén	0	0	0	10	0	0	0	0
	Málaga	0	0	0	67	0	0	0	0
	Sevilla	0	0	0	6	0	0	0	0
10/03/2020	Andalucía	0	0	0	82	0	0	0	0
	Almería	0	0	0	3	0	0	0	0
	Cádiz	0	0	0	2	0	0	0	0
	Córdoba	0	0	0	1	0	0	0	0
	Granada	0	0	0	0	0	0	0	0
	Huelva	0	0	0	1	0	0	0	0
	Jaén	0	0	0	10	0	0	0	0
	Málaga	0	0	0	59	0	0	0	0
	Sevilla	0	0	0	6	0	0	0	0
09/03/2020	Andalucía	0	0	0	59	0	0	0	0
	Almería	0	0	0	2	0	0	0	0
	Cádiz	0	0	0	2	0	0	0	0
	Córdoba	0	0	0	0	0	0	0	0
	Granada	0	0	0	0	0	0	0	0
	Huelva	0	0	0	1	0	0	0	0
	Jaén	0	0	0	7	0	0	0	0
	Málaga	0	0	0	42	0	0	0	0
	Sevilla	0	0	0	5	0	0	0	0
08/03/2020	Andalucía	0	0	0	41	0	0	0	0
	Almería	0	0	0	1	0	0	0	0
	Cádiz	0	0	0	2	0	0	0	0
	Córdoba	0	0	0	0	0	0	0	0
	Granada	0	0	0	0	0	0	0	0
	Huelva	0	0	0	0	0	0	0	0
	Jaén	0	0	0	6	0	0	0	0
	Málaga	0	0	0	27	0	0	0	0
	Sevilla	0	0	0	5	0	0	0	0
07/03/2020	Andalucía	0	0	0	34	0	0	0	0
	Almería	0	0	0	1	0	0	0	0
	Cádiz	0	0	0	1	0	0	0	0
	Córdoba	0	0	0	0	0	0	0	0
	Granada	0	0	0	0	0	0	0	0
	Huelva	0	0	0	0	0	0	0	0
	Jaén	0	0	0	5	0	0	0	0
	Málaga	0	0	0	22	0	0	0	0
	Sevilla	0	0	0	5	0	0	0	0
06/03/2020	Andalucía	0	0	0	26	0	0	0	0
	Almería	0	0	0	1	0	0	0	0
	Cádiz	0	0	0	0	0	0	0	0
	Córdoba	0	0	0	0	0	0	0	0
	Granada	0	0	0	0	0	0	0	0
	Huelva	0	0	0	0	0	0	0	0
	Jaén	0	0	0	3	0	0	0	0
	Málaga	0	0	0	18	0	0	0	0
	Sevilla	0	0	0	4	0	0	0	0
05/03/2020	Andalucía	0	0	0	15	0	0	0	0
	Almería	0	0	0	1	0	0	0	0
	Cádiz	0	0	0	0	0	0	0	0
	Córdoba	0	0	0	0	0	0	0	0
	Granada	0	0	0	0	0	0	0	0
